NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style;calcul
IDENTIFICATION;PDE1;127.03;6.28;3.59;1;1;1;G;c;n;
IDENTIFICATION;PDE2;138.05;6.54;3.08;1;1;1;G;c;n;
IDENTIFICATION;PDE3;148.54;6.54;2.82;1;1;1;G;c;n;
IDENTIFICATION;PDE4;158.79;6.54;3.85;1;1;1;G;c;n;
IDENTIFICATION;NOM;15;14.54;50;1;1;1;G;c;n;
IDENTIFICATION;PRENOM;80;14.03;50;1;1;1;G;c;n;
IDENTIFICATION;ADRESSE;144.63;14.54;120;1;1;1;G;c;n;
IDENTIFICATION;SIRET;19.33;19.02;100;1;1;1;G;c;n;
IDENTIFICATION;PACAGE;145.42;19.02;115.9;1;1;1;G;c;n;
IDENTIFICATION;NOMSOCIETE1;36.63;23.51;85.9;1;1;1;G;c;n;
IDENTIFICATION;NOMSOCIETE2;36.63;28;84.87;1;1;1;G;c;n;
IDENTIFICATION;SIEGESOCIAL1;144.37;23.51;120.77;1;1;1;G;c;n;
IDENTIFICATION;SIEGESOCIAL2;144.63;28;120.77;1;1;1;G;c;n;
VOTRE_SITUATION;CHEF_EXPLOITATION;110;5;4;1;1;1;G;c;n;
VOTRE_SITUATION;ASSOCIE_EXPLOITANT;144;5;4;1;1;1;G;c;n;
VOTRE_SITUATION;COTISANT_SOLIDAIRE;175;5;4;1;1;1;G;c;n;
VOTRE_SITUATION;AUTRE;205;5;55;1;1;1;G;c;n;
VOTRE_SITUATION;PREVU_PDE;79;10;4;1;1;1;G;c;n;
VOTRE_SITUATION;PAS_TRAVAILLE_EXT;142;10;4;1;1;1;G;c;n;
VOTRE_SITUATION;REVENU_DE_LANNEE;243;10;19;1;1;1;D;n;n;
VOTRE_SITUATION;PDE_EBE;39;19.77;55.9;1;1;1;D;n;n;
VOTRE_SITUATION;REALISE_EBE;109;19;63.85;1;1;1;D;n;n;
VOTRE_SITUATION;PDE_LMT;38.48;24.51;56.92;1;1;1;D;n;n;
VOTRE_SITUATION;REALISE_LMT;109;24;64;1;1;1;D;n;n;
VOTRE_SITUATION;DATE_OUVERTURE;237;17;16;1;1;1;G;d;n;
VOTRE_SITUATION;DATE_CLOTURE;237;22;16;1;1;1;G;d;n;
STRUCTURE_EXPLOITATION;CHEF_EXPLOITATION_PDE;55.63;12.74;5.79;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;CONJOINT_PDE;55.63;18;5.79;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;AIDE_FAMILIALE_PDE;55.63;23;7.11;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;PERMANENT_PDE;55.63;28;6.84;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;TEMPORAIRE_PDE;55.63;33;6.84;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;CHEF_EXPLOITATION_CONSTATE;74.63;13;7.37;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;CONJOINT_CONSTATE;74.63;18;7.37;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;AIDE_FAMILIALE_CONSTATE;74.63;23;7.37;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;PERMANENT_CONSTATE;74.63;28;7.37;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;TEMPORAIRE_CONSTATE;74.63;33;7.37;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;CHEF_EXPLOITATION_ENVISAGE;96.63;13;7.89;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;CONJOINT_ENVISAGE;96.63;18;8.95;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;AIDE_FAMILIALE_ENVISAGE;96.63;23;7.89;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;PERMANENT_ENVISAGE;96.63;28;7.63;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;TEMPORAIRE_ENVISAGE;96.63;33;7.89;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;CHEF_EXPLOITATION_ENVISAGE_ANNE;112;13;17;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;CONJOINT_ENVISAGE_ANNE;112;18;17;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;AIDE_FAMILIALE_ENVISAGE_ANNE;112;23;17;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;PERMANENT_ENVISAGE_ANNE;112;28;17;1;1;1;G;n;n;
STRUCTURE_EXPLOITATION;TEMPORAIRE_ENVISAGE_ANNE;112;33;17;1;1;1;G;n;n;
