NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;gras
IDENTIFICATION;NOM;13;19;111;1;1;1;G;c;n
IDENTIFICATION;PRENOM;150;19;114;1;1;1;G;c;n
IDENTIFICATION;ADRESSE1;20;26;244;1;1;1;G;c;n
IDENTIFICATION;ADRESSE2;20;32;244;1;1;1;G;c;n
PROGRAMME_INVESTISSEMENT_ENTETE;PROGRAMME_INVESTISSEMENT_ENTETE_NO_CHAMP;0;0;0;1;1;1;G;c;n
PROGRAMME_INVESTISSEMENT_LIGNE;EXERCICE;4;12;12;1;5;100;G;n;n
PROGRAMME_INVESTISSEMENT_LIGNE;NATURE_INVESTISSEMENT;19;2;40;5;5;100;G;c;n
PROGRAMME_INVESTISSEMENT_LIGNE;MISE_NORME;82;4;6;1;5;100;G;c;n
PROGRAMME_INVESTISSEMENT_LIGNE;CHEPTEL;82;12;6;1;5;100;G;c;n
PROGRAMME_INVESTISSEMENT_LIGNE;AUTRE;82;20;6;1;5;100;G;c;n
PROGRAMME_INVESTISSEMENT_LIGNE;MONTANT_PREVU;92;12;20;1;5;100;G;n;n
PROGRAMME_INVESTISSEMENT_LIGNE;DATE_REALISATION;122;12;20;1;5;100;G;d;n
PROGRAMME_INVESTISSEMENT_LIGNE;MONTANT_REALISE;147;12;20;1;5;100;G;n;n
PROGRAMME_INVESTISSEMENT_LIGNE;MODE_MTS_JA;194;3;6;1;5;100;G;c;n
PROGRAMME_INVESTISSEMENT_LIGNE;MODE_PMBE;194;9;6;1;5;100;G;c;n
PROGRAMME_INVESTISSEMENT_LIGNE;MODE_PVEPPE;194;15;6;1;5;100;G;c;n
PROGRAMME_INVESTISSEMENT_LIGNE;MODE_AUTRES;194;21;6;1;5;100;G;c;n
PROGRAMME_INVESTISSEMENT_LIGNE;REFERENCES;207;1;56;5;5;100;G;c;n
PROGRAMME_INVESTISSEMENT_PIED;PROGRAMME_INVESTISSEMENT_PIED_NO_CHAMP;0;0;0;1;1;1;G;c;n
VISA;NOMPRENOM;54;7;168;1;1;1;G;c;n
VISA;QUALITE;42;13;170;1;1;1;G;c;n
VISA;FAIT_A;16;19;82;1;1;1;G;c;n
VISA;DATE;14;26;19;1;1;1;G;d;n
