NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style
FICHE_SOCIETE_COMPTES_ASSOCIES_ENTETE;FICHE_SOCIETE_COMPTE_ASSOCIES_ENTETE_NOCHAMP;0;0;0;1;1;1;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;JA_DESC;16;12;50;1;3;9;G;c;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;COMPTE_COURANT_DEBUT_EX1;111;0;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;COMPTE_COURANT_DEBUT_EX2;135;0;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;COMPTE_COURANT_DEBUT_EX3;160;0;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;COMPTE_COURANT_DEBUT_EX4;184;0;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;COMPTE_COURANT_DEBUT_EX5;209;0;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;REMUNERATION_EX1;111;5;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;REMUNERATION_EX2;135;5;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;REMUNERATION_EX3;160;5;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;REMUNERATION_EX4;184;5;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;REMUNERATION_EX5;209;5;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;PRELEVEMENT_EX1;111;10;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;PRELEVEMENT_EX2;135;10;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;PRELEVEMENT_EX3;160;10;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;PRELEVEMENT_EX4;184;10;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;PRELEVEMENT_EX5;209;10;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;AUTRES_MOUVEMENTS_EX1;111;15;20;1;3;9;G;n;n
FICHE_SOCIETE_COMPTES_ASSOCIES_LIGNE;AUTRES_MOUVEMENTS_EX2;135;15;20;1;3;9;G;n;n
