CATEGO,LIBELLE,DATE,MONTANT,TYPEAMORT,DUREEAMORT,DATESORT,VALSORT,MOISDIFF,PRODIMMO
MATERIEL,DRAINAGE LSM 01/04/09 ,01/01/2009,5753,LIN        ,10,0,0,,,
MATERIEL,CPL BATIMENT LSM 30/03/08 ,31/03/2008,8124,LIN        ,20,0,0,,,
MATERIEL,LSM BATIMENT LSM BATIMENT,31/03/2008,229397,LIN        ,20,0,0,,,
MATERIEL,HANGAR METALIQUE,23/11/2005,4521,LIN        ,15,0,0,,,
MATERIEL,TOITURE RAVEL,23/11/2005,8175,LIN        ,12,0,0,,,
MATERIEL,CHARPENTE GRANGE,02/01/2002,11753,LIN        ,10,0,0,,,
MATERIEL,CUVE FIOUL,24/05/2002,749,DER       ,10,0,0,,,
MATERIEL,CAILLEBOTIS SODIAAL,19/12/2007,6250,DER       ,10,0,0,,,
MATERIEL,SALLE DE TRAITE SODIAAL,19/12/2007,39200,DER       ,15,0,0,,,
MATERIEL,TUBULAIRE SODIAAL,19/12/2007,7890,DER       ,10,0,0,,,
MATERIEL,POMPE IMMERGEE,28/03/2008,1450,DER       ,7,0,0,,,
MATERIEL,BRASSEUR A LISIE SODIAAL,19/12/2007,6500,DER       ,10,0,0,,,
MATERIEL,TUBULAIRES SODIAAL,28/03/2008,744,DER       ,10,0,0,,,
MATERIEL,ABREUVOIR SODIAAL,19/12/2007,1470,DER       ,10,0,0,,,
MATERIEL,TRACTEUR FIAT 68,01/01/1982,4573,LIN        ,4,0,0,,,
MATERIEL,CHARGEUR NEUF 19,01/01/1982,1524,LIN        ,4,0,0,,,
MATERIEL,REMORQUE MAITRE                         ,01/01/1992,1143,LIN        ,5,0,0,,,
MATERIEL,RIGOLEUSE AGRAM                         ,01/01/1998,1829,LIN        ,4,0,0,,,
MATERIEL,TRANSFERT ET GRI                        ,01/01/1980,1220,LIN        ,3,0,0,,,
MATERIEL,AUTOCHARGEUSE 97                        ,01/01/1997,1524,LIN        ,2,0,0,,,
MATERIEL,TANK A LAIT 2700                        ,01/01/1997,7622,LIN        ,5,0,0,,,
MATERIEL,EVACUATEUR                              ,03/12/2002,1988,LIN        ,5,0,0,,,
MATERIEL,TRACTEUR FIAT F1                        ,28/08/2000,23325,LIN        ,4,0,0,,,
MATERIEL,FAUCHEUSE PORTE                         ,06/07/2000,5412,DER       ,6,0,0,,,
MATERIEL,DESSILEUSE JEANT                        ,20/12/2000,3354,DER       ,3,0,0,,,
MATERIEL,GODET AR ROBUST                         ,20/03/2001,977,DER       ,5,0,0,,,
MATERIEL,TRACTEUR ARES                           ,30/01/2002,42686,DER       ,6,0,0,,,
MATERIEL,SILO 4M3                                ,06/02/2002,778,DER       ,10,0,0,,,
MATERIEL,DEBROUSSAILLEUSE                        ,29/06/2002,392,DER       ,5,0,0,,,
MATERIEL,RATELIER                                ,01/04/2003,960,DER       ,8,0,0,,,
MATERIEL,TONNE A EAU                             ,30/09/2003,653,DER       ,8,0,0,,,
MATERIEL,PROG. LAVAGE CHATAIGNON                 ,26/07/2005,4154,DER       ,3,0,0,,,
MATERIEL,CHARGEUR BASTY                          ,30/05/2005,10150,DER       ,8,0,0,,,
MATERIEL,TRONCONNEUSE MARTEL                     ,19/11/2005,557,DER       ,4,0,0,,,
MATERIEL,COMPRESSEUR FOYATIER                    ,25/11/2005,520,DER       ,6,0,0,,,
MATERIEL,GIROFANEUR LOIRE EQUIPEMENT             ,28/12/2007,8245,DER       ,8,0,0,,,
MATERIEL,NETOYEUR Hte PRESSION                   ,05/12/2009,1080,DER       ,6,0,0,,,
MATERIEL,MOTOBINEUSE                             ,19/06/2009,669,DER       ,7,0,0,,,
MATERIEL,ROUND BALLER                            ,30/10/2009,19000,DER       ,15,0,0,,,
MATERIEL,ANDAINEUR                               ,31/05/2001,5869,DER       ,4,0,0,,,
MATERIEL,TRONCONNEUSE                            ,26/10/2011,836,DER       ,5,0,0,,,
